stock_number,population_name,sub_population_name,data_series_num,species,year,abundance_qty,data_type,production_type,calculation_type,escapement_methodology,escapement_methodology_desc,biologist_methodology_desc,comments,report_types,last_update
1160,Green River (Duwamish) Chinook,,1,Chinook,1990,7035,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1992,5267,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1991,10548,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1968,3110,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1989,11512,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1988,7994,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1985,2908,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1977,3804,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1981,3606,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1969,4035,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1970,11171,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1979,9704,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,2000,4473,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated. Total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to 61.0 and in Newaukum Creek from RM.0 to 3.9.,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,2001,6473,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated. Total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to 61.0 and in Newaukum Creek from RM.0 to 3.9.,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1971,5832,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1972,4343,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1993,2476,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1994,4078,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1995,7939,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1973,3180,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1974,5095,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1975,3394,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1976,3140,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1978,3304,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1996,6026,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1997,7101,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated. Total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to 61.0 and in Newaukum Creek from RM.0 to 3.9.,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1998,5963,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated. Total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to 61.0 and in Newaukum Creek from RM.0 to 3.9.,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1999,7135,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated. Total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to 61.0 and in Newaukum Creek from RM.0 to 3.9.,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1984,3353,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1983,3679,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1980,7743,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,2002,7564,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated. Total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to 61.0 and in Newaukum Creek from RM.0 to 3.9.,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1982,1840,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1986,4792,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,1,Chinook,1987,10338,TSAEJ,NA,NA,TSAEJ,NOSA total spawner abundance excluding jacks,Data are total escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,No metrics indicated,SCoRE,2023-05-15T22:28:54.000
1160,Green River (Duwamish) Chinook,,2,Chinook,2006,3204,Spawner Fish,Hatchery,Expanded,Hatchery-Origin Spawners,Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.,Data are total hatchery-origin escapement estimates based on redd counts in the mainstem Green River from RM 25.4 to 61.0 and in Newaukum Creek from RM 0.0 to 3.9.,,"SOS, SCoRE",2023-05-15T22:28:54.000
