"stock_number","population_name","sub_population_name","data_series_num","species","year","abundance_qty","data_type","production_type","calculation_type","escapement_methodology","escapement_methodology_desc","biologist_methodology_desc","comments","report_types","last_update"
"1240","Dungeness Chinook","","1","Chinook","2020","27.0","NOBroodStockRemoved","Natural","Unexpanded","NOSA broodstock removed","NOSA number of broodstock removed","Count of natural origin chinook collected for broodstock.","",,"2024-10-25T23:45:21.000"
"1240","Dungeness Chinook","","1","Chinook","2019","19.0","NOBroodStockRemoved","Natural","Unexpanded","NOSA broodstock removed","NOSA number of broodstock removed","Count of natural origin chinook collected for broodstock.","",,"2024-10-25T23:45:21.000"
"1240","Dungeness Chinook","","1","Chinook","2018","20.0","NOBroodStockRemoved","Natural","Unexpanded","NOSA broodstock removed","NOSA number of broodstock removed","Count of natural origin chinook collected for broodstock.","",,"2024-10-25T23:45:21.000"
"1240","Dungeness Chinook","","1","Chinook","2016","30.0","NOBroodStockRemoved","Natural","Unexpanded","NOSA broodstock removed","NOSA number of broodstock removed","Count of natural origin chinook collected for broodstock.","",,"2024-10-25T23:45:21.000"
"1240","Dungeness Chinook","","1","Chinook","2021","37.0","NOBroodStockRemoved","Natural","Unexpanded","NOSA broodstock removed","NOSA number of broodstock removed","Count of natural origin chinook collected for broodstock.","",,"2024-10-25T23:45:21.000"
"1240","Dungeness Chinook","","1","Chinook","2023","32.0","NOBroodStockRemoved","Natural","Unexpanded","NOSA broodstock removed","NOSA number of broodstock removed","Count of natural origin chinook collected for broodstock.","",,"2024-10-25T23:45:21.000"
"1240","Dungeness Chinook","","1","Chinook","2017","26.0","NOBroodStockRemoved","Natural","Unexpanded","NOSA broodstock removed","NOSA number of broodstock removed","Count of natural origin chinook collected for broodstock.","",,"2024-10-25T23:45:21.000"
"1240","Dungeness Chinook","","1","Chinook","2022","44.0","NOBroodStockRemoved","Natural","Unexpanded","NOSA broodstock removed","NOSA number of broodstock removed","Count of natural origin chinook collected for broodstock.","",,"2024-10-25T23:45:21.000"
"1240","Dungeness Chinook","","2","Chinook","2006","3.0","HOSAEJ","Hatchery","Unexpanded","HOSAEJ","The point estimate for hatchery origin spawner abundance, excluding jacks. Includes only adults of hatchery origin, excluding jacks. ","Count of adult chinook that returned to the Dungeness Hatchery pond but were released back to the river.","Released back to the river.","SOS, SCoRE","2023-05-15T22:28:54.000"
"1240","Dungeness Chinook","","3","Chinook","2020","439.0","HOSAEJ","Hatchery","Expanded","HOSAEJ","The point estimate for hatchery origin spawner abundance, excluding jacks. Includes only adults of hatchery origin, excluding jacks. ","Escapement estimate includes only HORs. HOR\NOR composition determined by analyzing CWT results and scale samples from sampled carcasses, primarily from broodstock collection. This is a redd based estimate, 2.5 fish per redd, of the number of adult Chinook that spawned naturally in the Dungeness and Gray Wolf rivers. Jacks are not included in these estimates.","The estimated quantity is based on 59.9% of the Chinook spawning naturally in the river were of hatchery origin. The estimated total NOR (294) and HOR (439) Chinook in the natural spawning population was 733. In addition to the 439 hatchery origin spawners, 73 hatchery origin Chinook were collected for broodstock bringing the total HOR to 512.","SOS, SCoRE","2023-05-15T22:28:54.000"
"1240","Dungeness Chinook","","3","Chinook","2002","518.0","HOSAEJ","Hatchery","Expanded","HOSAEJ","The point estimate for hatchery origin spawner abundance, excluding jacks. Includes only adults of hatchery origin, excluding jacks. ","Escapement estimate includes only HORs. HOR\NOR composition determined by analyzing CWT results and scale samples from sampled carcasses, primarily from broodstock collection. This is a redd based estimate, 2.5 fish per redd, of the number of adult Chinook that spawned naturally in the Dungeness and Gray Wolf rivers. Jacks are not included in these estimates.","Based on 81.8% of all natural spawners.","SOS, SCoRE","2023-05-15T22:28:54.000"
