"stock_number","population_name","sub_population_name","data_series_num","species","year","abundance_qty","data_type","production_type","calculation_type","escapement_methodology","escapement_methodology_desc","biologist_methodology_desc","comments","report_types","last_update"
"1248","Elwha Chinook","","1","Chinook","2007","380.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","2000","715.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","1999","903.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","1998","720.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","1997","1585.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","1996","364.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","1995","524.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","1994","163.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","1993","633.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","No indicator data.","SCoRE","2024-11-18T10:47:20.000"
"1248","Elwha Chinook","","1","Chinook","2009","678.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Total Natural Spawners: Data are total escapement estimates based on expanded redd counts from RM 3.2 to 4.4 using raft and foot surveys.","Data and estimates collected and generated by Jamestown S'Klallam Tribe.","SCoRE","2024-11-18T10:47:20.000"
