"stock_number","population_name","sub_population_name","data_series_num","species","year","abundance_qty","data_type","production_type","calculation_type","escapement_methodology","escapement_methodology_desc","biologist_methodology_desc","comments","report_types","last_update"
"1208","Skokomish Chinook","","1","Chinook","1971","2666.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1981","117.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1978","164.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1991","1719.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1989","1204.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1982","248.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1983","1007.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1992","825.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1988","2666.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1975","1673.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1990","642.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1993","960.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1995","1398.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1996","995.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1997","452.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1998","1177.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1984","1394.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1985","2974.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1976","1134.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1994","657.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
"1208","Skokomish Chinook","","1","Chinook","1987","2112.0","TSAEJ","NA","NA","TSAEJ","NOSA total spawner abundance excluding jacks","Unknown","No indicator metrics. Skokomish and Point no Point S’klallam  tribes (Jamestown and Port Gamble) review and agree on all MHC population estimates","SCoRE","2024-06-03T13:29:35.000"
